Curva,Distancia (km),Costo (€)
1,10,11.33
1,20,22.65
1,30,33.98
1,40,45.31
1,50,56.63
1,60,67.96
1,70,79.29
1,80,90.62
1,90,101.94
1,100,113.27
2,10,43.34
2,20,86.68
2,30,130.01
2,40,173.35
2,50,216.69
2,60,260.03
2,70,303.36
2,80,346.70
2,90,390.04
2,100,433.38
