ANNO;CODICE_MESE;NOME_MESE;CODICE_PRODOTTO;NOME_PRODOTTO;PREZZO;IVA;ACCISA;NETTO
2002;1;Gennaio;2;Gasolio auto;836,14;139,35;403,21;293,57
2002;2;Febbraio;2;Gasolio auto;837,04;139,51;403,21;294,32
2002;3;Marzo;2;Gasolio auto;844,64;140,77;403,21;300,66
2002;4;Aprile;2;Gasolio auto;866,36;144,39;403,21;318,76
2002;5;Maggio;2;Gasolio auto;868,07;144,68;403,21;320,18
2002;6;Giugno;2;Gasolio auto;857,43;142,9;403,21;311,32
2002;7;Luglio;2;Gasolio auto;846,06;141,01;403,21;301,84
2002;8;Agosto;2;Gasolio auto;842,69;140,45;403,21;299,03
2002;9;Settembre;2;Gasolio auto;859,39;143,23;403,21;312,95
2002;10;Ottobre;2;Gasolio auto;875,67;145,94;403,21;326,52
2002;11;Novembre;2;Gasolio auto;864,11;144,02;403,21;316,88
2002;12;Dicembre;2;Gasolio auto;864,37;144,06;403,21;317,1
2003;1;Gennaio;2;Gasolio auto;891,6;148,6;403,21;339,79
2003;2;Febbraio;2;Gasolio auto;906,23;151,04;403,21;351,98
2003;3;Marzo;2;Gasolio auto;936,62;156,1;403,21;377,31
2003;4;Aprile;2;Gasolio auto;906,74;151,12;403,21;352,4
2003;5;Maggio;2;Gasolio auto;860,9;143,48;403,21;314,2
2003;6;Giugno;2;Gasolio auto;845,88;140,98;403,21;301,69
2003;7;Luglio;2;Gasolio auto;850,63;141,77;403,21;305,65
2003;8;Agosto;2;Gasolio auto;865,55;144,26;403,21;318,08
2003;9;Settembre;2;Gasolio auto;863,72;143,95;403,21;316,55
2003;10;Ottobre;2;Gasolio auto;860,8;143,47;403,21;314,13
2003;11;Novembre;2;Gasolio auto;873,95;145,66;403,21;325,08
2003;12;Dicembre;2;Gasolio auto;869,89;144,98;403,21;321,7
2004;1;Gennaio;2;Gasolio auto;875,28;145,88;403,21;326,19
2004;2;Febbraio;2;Gasolio auto;872,51;145,42;403,21;323,88
2004;3;Marzo;2;Gasolio auto;886,94;147,82;403,21;335,91
2004;4;Aprile;2;Gasolio auto;899,36;149,89;403,21;346,25
2004;5;Maggio;2;Gasolio auto;924,13;154,02;403,21;366,9
2004;6;Giugno;2;Gasolio auto;937,48;156,25;403,21;378,02
2004;7;Luglio;2;Gasolio auto;935,83;155,97;403,21;376,65
2004;8;Agosto;2;Gasolio auto;954,81;159,13;403,21;392,47
2004;9;Settembre;2;Gasolio auto;970,13;161,69;403,21;405,23
2004;10;Ottobre;2;Gasolio auto;996,25;166,04;403,21;427
2004;11;Novembre;2;Gasolio auto;996,73;166,12;403,21;427,4
2004;12;Dicembre;2;Gasolio auto;1.013,93;168,99;403,21;441,73
2005;1;Gennaio;2;Gasolio auto;1.009;168,16;403,21;437,62
2005;2;Febbraio;2;Gasolio auto;1.022,64;170,44;403,56;448,64
2005;3;Marzo;2;Gasolio auto;1.057,44;176,24;413;468,2
2005;4;Aprile;2;Gasolio auto;1.106,3;184,38;413;508,92
2005;5;Maggio;2;Gasolio auto;1.070,75;178,46;413;479,3
2005;6;Giugno;2;Gasolio auto;1.090,44;181,74;413;495,7
2005;7;Luglio;2;Gasolio auto;1.131,04;188,51;413;529,53
2005;8;Agosto;2;Gasolio auto;1.140,61;190,1;413;537,51
2005;9;Settembre;2;Gasolio auto;1.182,41;197,07;413;572,35
2005;10;Ottobre;2;Gasolio auto;1.211,12;201,85;413;596,27
2005;11;Novembre;2;Gasolio auto;1.144,61;190,77;413;540,84
2005;12;Dicembre;2;Gasolio auto;1.119,45;186,58;413;519,88
2006;1;Gennaio;2;Gasolio auto;1.146,96;191,16;413;542,8
2006;2;Febbraio;2;Gasolio auto;1.150,89;191,81;413;546,07
2006;3;Marzo;2;Gasolio auto;1.163,23;193,87;413;556,36
2006;4;Aprile;2;Gasolio auto;1.178,56;196,42;413;569,13
